location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Switzerland,2021-11-07,20,29,68.14
Switzerland,2021-11-07,30,39,69.09
Switzerland,2021-11-07,40,49,74.92
Switzerland,2021-11-07,50,59,78.87
Switzerland,2021-11-07,60,69,82.89
Switzerland,2021-11-07,70,79,89.2
Switzerland,2021-11-07,80,,91.21
Switzerland,2021-11-14,0,9,0.02
Switzerland,2021-11-14,10,19,42.0
Switzerland,2021-11-14,20,29,68.77
Switzerland,2021-11-14,30,39,69.66
Switzerland,2021-11-14,40,49,75.34
Switzerland,2021-11-14,50,59,79.22
Switzerland,2021-11-14,60,69,83.17
Switzerland,2021-11-14,70,79,89.4
Switzerland,2021-11-14,80,,91.42
Switzerland,2021-11-21,0,9,0.02
Switzerland,2021-11-21,10,19,42.6
Switzerland,2021-11-21,20,29,69.2
Switzerland,2021-11-21,30,39,70.1
Switzerland,2021-11-21,40,49,75.65
Switzerland,2021-11-21,50,59,79.45
Switzerland,2021-11-21,60,69,83.35
Switzerland,2021-11-21,70,79,89.53
Switzerland,2021-11-21,80,,91.61
Switzerland,2021-11-28,0,9,0.03
Switzerland,2021-11-28,10,19,43.11
Switzerland,2021-11-28,20,29,69.59
Switzerland,2021-11-28,30,39,70.5
Switzerland,2021-11-28,40,49,75.93
Switzerland,2021-11-28,50,59,79.66
Switzerland,2021-11-28,60,69,83.53
Switzerland,2021-11-28,70,79,89.66
Switzerland,2021-11-28,80,,91.79
Switzerland,2021-12-05,0,9,0.03
Switzerland,2021-12-05,10,19,43.62
Switzerland,2021-12-05,20,29,70.08
Switzerland,2021-12-05,30,39,70.95
Switzerland,2021-12-05,40,49,76.24
Switzerland,2021-12-05,50,59,79.91
Switzerland,2021-12-05,60,69,83.71
Switzerland,2021-12-05,70,79,89.79
Switzerland,2021-12-05,80,,91.98
Switzerland,2021-12-12,0,9,0.03
Switzerland,2021-12-12,10,19,44.23
Switzerland,2021-12-12,20,29,70.69
Switzerland,2021-12-12,30,39,71.5
Switzerland,2021-12-12,40,49,76.59
Switzerland,2021-12-12,50,59,80.19
Switzerland,2021-12-12,60,69,83.93
Switzerland,2021-12-12,70,79,89.95
Switzerland,2021-12-12,80,,92.16
Switzerland,2021-12-19,0,9,0.04
Switzerland,2021-12-19,10,19,44.83
Switzerland,2021-12-19,20,29,71.27
Switzerland,2021-12-19,30,39,72.0
Switzerland,2021-12-19,40,49,76.92
Switzerland,2021-12-19,50,59,80.47
Switzerland,2021-12-19,60,69,84.16
Switzerland,2021-12-19,70,79,90.11
Switzerland,2021-12-19,80,,92.35
Switzerland,2021-12-26,0,9,0.04
Switzerland,2021-12-26,10,19,45.27
Switzerland,2021-12-26,20,29,71.65
Switzerland,2021-12-26,30,39,72.3
Switzerland,2021-12-26,40,49,77.12
Switzerland,2021-12-26,50,59,80.63
Switzerland,2021-12-26,60,69,84.28
Switzerland,2021-12-26,70,79,90.2
Switzerland,2021-12-26,80,,92.46
Switzerland,2022-01-02,0,9,0.05
Switzerland,2022-01-02,10,19,45.62
Switzerland,2022-01-02,20,29,71.9
Switzerland,2022-01-02,30,39,72.5
Switzerland,2022-01-02,40,49,77.24
Switzerland,2022-01-02,50,59,80.73
Switzerland,2022-01-02,60,69,84.35
Switzerland,2022-01-02,70,79,90.25
Switzerland,2022-01-02,80,,92.53
Switzerland,2022-01-09,0,9,0.7
Switzerland,2022-01-09,10,19,46.56
Switzerland,2022-01-09,20,29,72.26
Switzerland,2022-01-09,30,39,72.8
Switzerland,2022-01-09,40,49,77.42
Switzerland,2022-01-09,50,59,80.86
Switzerland,2022-01-09,60,69,84.46
Switzerland,2022-01-09,70,79,90.33
Switzerland,2022-01-09,80,,92.63
Switzerland,2022-01-16,0,9,1.78
Switzerland,2022-01-16,10,19,47.66
Switzerland,2022-01-16,20,29,72.58
Switzerland,2022-01-16,30,39,73.04
Switzerland,2022-01-16,40,49,77.57
Switzerland,2022-01-16,50,59,80.97
Switzerland,2022-01-16,60,69,84.56
Switzerland,2022-01-16,70,79,90.4
Switzerland,2022-01-16,80,,92.73
Switzerland,2022-01-23,0,9,2.6
Switzerland,2022-01-23,10,19,48.53
Switzerland,2022-01-23,20,29,72.82
Switzerland,2022-01-23,30,39,73.23
Switzerland,2022-01-23,40,49,77.67
Switzerland,2022-01-23,50,59,81.05
Switzerland,2022-01-23,60,69,84.62
Switzerland,2022-01-23,70,79,90.45
Switzerland,2022-01-23,80,,92.79
Switzerland,2022-01-30,0,9,3.04
Switzerland,2022-01-30,10,19,49.02
Switzerland,2022-01-30,20,29,72.95
Switzerland,2022-01-30,30,39,73.32
Switzerland,2022-01-30,40,49,77.73
Switzerland,2022-01-30,50,59,81.1
Switzerland,2022-01-30,60,69,84.66
Switzerland,2022-01-30,70,79,90.48
Switzerland,2022-01-30,80,,92.84
Switzerland,2022-02-06,0,9,3.22
Switzerland,2022-02-06,10,19,49.25
Switzerland,2022-02-06,20,29,73.02
Switzerland,2022-02-06,30,39,73.38
Switzerland,2022-02-06,40,49,77.76
Switzerland,2022-02-06,50,59,81.13
Switzerland,2022-02-06,60,69,84.69
Switzerland,2022-02-06,70,79,90.5
Switzerland,2022-02-06,80,,92.86
Switzerland,2022-02-13,0,9,3.31
Switzerland,2022-02-13,10,19,49.39
Switzerland,2022-02-13,20,29,73.07
Switzerland,2022-02-13,30,39,73.42
Switzerland,2022-02-13,40,49,77.78
Switzerland,2022-02-13,50,59,81.15
Switzerland,2022-02-13,60,69,84.7
Switzerland,2022-02-13,70,79,90.51
Switzerland,2022-02-13,80,,92.88
Switzerland,2022-02-20,0,9,3.37
Switzerland,2022-02-20,10,19,49.47
Switzerland,2022-02-20,20,29,73.09
Switzerland,2022-02-20,30,39,73.44
Switzerland,2022-02-20,40,49,77.8
Switzerland,2022-02-20,50,59,81.15
Switzerland,2022-02-20,60,69,84.71
Switzerland,2022-02-20,70,79,90.52
Switzerland,2022-02-20,80,,92.89
Switzerland,2022-02-27,0,9,3.41
Switzerland,2022-02-27,10,19,49.54
Switzerland,2022-02-27,20,29,73.11
Switzerland,2022-02-27,30,39,73.45
Switzerland,2022-02-27,40,49,77.8
Switzerland,2022-02-27,50,59,81.16
Switzerland,2022-02-27,60,69,84.72
Switzerland,2022-02-27,70,79,90.53
Switzerland,2022-02-27,80,,92.9
Switzerland,2022-03-06,0,9,3.43
Switzerland,2022-03-06,10,19,49.58
Switzerland,2022-03-06,20,29,73.12
Switzerland,2022-03-06,30,39,73.46
Switzerland,2022-03-06,40,49,77.81
Switzerland,2022-03-06,50,59,81.17
Switzerland,2022-03-06,60,69,84.73
Switzerland,2022-03-06,70,79,90.53
Switzerland,2022-03-06,80,,92.9
Switzerland,2022-03-13,0,9,3.46
Switzerland,2022-03-13,10,19,49.62
Switzerland,2022-03-13,20,29,73.13
Switzerland,2022-03-13,30,39,73.47
Switzerland,2022-03-13,40,49,77.82
Switzerland,2022-03-13,50,59,81.17
Switzerland,2022-03-13,60,69,84.73
Switzerland,2022-03-13,70,79,90.53
Switzerland,2022-03-13,80,,92.91
Switzerland,2022-03-20,0,9,3.47
Switzerland,2022-03-20,10,19,49.66
Switzerland,2022-03-20,20,29,73.15
Switzerland,2022-03-20,30,39,73.48
Switzerland,2022-03-20,40,49,77.82
Switzerland,2022-03-20,50,59,81.18
Switzerland,2022-03-20,60,69,84.74
Switzerland,2022-03-20,70,79,90.54
Switzerland,2022-03-20,80,,92.91
Switzerland,2022-03-27,0,9,3.48
Switzerland,2022-03-27,10,19,49.69
Switzerland,2022-03-27,20,29,73.16
Switzerland,2022-03-27,30,39,73.49
Switzerland,2022-03-27,40,49,77.83
Switzerland,2022-03-27,50,59,81.18
Switzerland,2022-03-27,60,69,84.74
Switzerland,2022-03-27,70,79,90.54
Switzerland,2022-03-27,80,,92.92
Switzerland,2022-04-03,0,9,3.5
Switzerland,2022-04-03,10,19,49.72
Switzerland,2022-04-03,20,29,73.17
Switzerland,2022-04-03,30,39,73.5
Switzerland,2022-04-03,40,49,77.84
Switzerland,2022-04-03,50,59,81.19
Switzerland,2022-04-03,60,69,84.75
Switzerland,2022-04-03,70,79,90.54
Switzerland,2022-04-03,80,,92.92
Switzerland,2022-04-10,0,9,3.51
Switzerland,2022-04-10,10,19,49.75
Switzerland,2022-04-10,20,29,73.18
Switzerland,2022-04-10,30,39,73.51
Switzerland,2022-04-10,40,49,77.84
